official_name_of_satellite,operator_owner,country_of_operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_years,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number
SMOS,Centre National d'Etudes Spatiales (CNES)/European Space Agency,ESA,Government,Earth Observation,LEO,Sun-Synchronous,759,760,0.0000701,98.4,100,658,630,1065,11/2/2009,3,Thales Alenia Space,France,Plesetsk Cosmodrome,Breeze KM,2009-059A,36036
SOlar Radiation and Climate Experiment (SORCE),"NASA Earth Science Office/Laboratory for Atmospheric and Space Physics, Univ. of Colorado",USA,Government/Civil,Space Science,LEO,Non-Polar Inclined,600,633,0.00236,40,97,315,290,348,1/25/2003,6,Orbital Sciences Corp.,USA,Cape Canaveral,Pegasus XL,2003-004A,27651
SWARM-A,European Space Agency (ESA),ESA,Government,Earth Observation,LEO,Polar,473,476,0.000219,87.3,93.9,468,369,608,11/22/2013,4,Astrium,France,Plesetsk Cosmodrome,Rokot,2013-067B,39452
SWARM-B,European Space Agency (ESA),ESA,Government,Earth Observation,LEO,Polar,473,476,0.000219,87.3,93.9,468,369,608,11/22/2013,4,Astrium,France,Plesetsk Cosmodrome,Rokot,2013-067A,39451
SWARM-C,European Space Agency (ESA),ESA,Government,Earth Observation,LEO,Polar,486,496,0.000729,87.5,94,468,369,608,11/22/2013,4,Astrium,France,Plesetsk Cosmodrome,Rokot,2013-067C,39453
Tango,European Space Agency (and 250 international scientific investigators),ESA,Government,Space Science,Elliptical,Deep Highly Eccentric,17313,120961,0.686,90.7,3442,1200,478,220,8/9/2000,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-045B,26464
Theos,Geo-Informatics and Space Technology Development Agency (GISTDA),Thailand,Government,Earth Observation,LEO,Sun-Synchronous,824,826,0.000139,98.7,101.4,750,670,840,10/1/2008,5,EADS Astrium,France,Dombarovsky Air Base,Dnepr,2008-049A,33396
TUGSat-1,Technical University of Graz,Austria,Civil,Technology Development,LEO,Sun-Synchronous,770,784,0.000979,98.6,100.3,14,7,5,2/25/2013,10,University of Toronto Institute for Aerospace Studies (UTIAS),Canada,Satish Dhawan Space Center,PSLV,2013-009F,39091
Calipso,Centre National d'Etudes Spatiales (CNES)/NASA,France/USA,Government,Earth Science,LEO,Sun-Synchronous,702,703,0.0000707,98.2,98.8,587,980,550,4/28/2006,3,Alcatel Alenia Space,France,Vandenberg AFB,Delta 2,2006-016B,29108
Cassiope,Canadian Space Agency,Canada,Government,Earth Science,LEO,Elliptical,325,1486,0.0798,81,103.11,490,980,600,9/29/2013,2,Canadian Space Agency,Canada,Vandenberg AFB,Falcon 9,2013-055A,39265
CBERS 4,China National Space Administration (China)/National Institute for Space Research (Brazil),China/Brazil,Government,Earth Observation,LEO,Sun-Synchronous,738,748,0.000703,98.55,99.67,1980,980,2300,12/7/2014,3,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2014-079A,40336
COSMIC-A,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Taiwan/USA,Government/Civil,Earth Observation,LEO,Polar,764,836,0.00502,72,100.9,70,980,46,4/15/2006,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011A,29047
COSMIC-B,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Taiwan/USA,Government/Civil,Earth Observation,LEO,Polar,769,831,0.00432,72,100.9,70,980,46,4/15/2006,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011B,29048
COSMIC-D,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Taiwan/USA,Government/Civil,Earth Observation,LEO,Polar,669,746,0.00544,72,98.9,70,980,46,4/15/2006,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011D,29050
