official_name_of_satellite,operator_owner,country_of_operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_years,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number
Cosmos 2485,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,19087,19173,0.00169,64.77,675.73,1415,980,1000,4/26/2013,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2,2013-019A,39155
Cosmos 2514,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,19106,19154,0.000941,64.8,675.75,1415,980,1000,2/7/2016,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2016-008A,41330
Cosmos 2516,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,19094,19153,0.00116,64.8,675.49,1415,980,1000,5/29/2016,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2016-032A,41554
Cosmos 2491,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,19084,19177,0.00182,64.81,675.74,1415,980,1000,3/23/2014,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2014-012A,39620
Cosmos 2500,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,19114,19146,0.000627,64.77,675.73,1415,980,1000,6/14/2014,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2014-032A,40001
Gonets D1-14,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1407,1413,0.000386,82.5,114,240,980,120,2/19/1996,3,NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,1996-009B,23788
Gonets M-03,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1478,1510,0.00203,82.5,115.9,270,980,120,7/28/2012,6,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2012-041B,38734
Gonets M-04,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1480,1511,0.00197,82.5,115.9,270,980,120,7/28/2012,6,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2012-041D,38736
Gonets M-05,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1497,1510,0.000826,82.5,116.1,270,980,120,9/8/2010,6,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2010-043B,37153
Gonets M-11,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1497,1508,0.000699,82.4,116,280,980,120,3/31/2015,6,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2015-020A,40552
Gonets M-12,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1494,1506,0.000762,82.4,116,280,980,120,3/31/2015,6,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2015-020B,40553
Gonets M-13,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1171,1504,0.0216,82.4,116,280,980,120,3/31/2015,6,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2015-020C,40554
Gonets M-14,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1482,1507,0.00159,82.49,115.86,270,980,120,9/11/2013,6,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2013-048A,39249
Gonets M-16,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1493,1508,0.000953,82.49,116,270,980,120,9/11/2013,6,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2013-048B,39250
Gonets M-17,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1494,1509,0.000953,92.49,116.02,270,980,120,9/11/2013,6,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2013-048C,39251
Gonets M-18,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1479,1510,0.00197,82.52,115.87,280,980,120,7/3/2014,6,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2014-036A,40061
Gonets M-19,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1480,1512,0.00203,82.51,115.89,280,980,120,7/3/2014,6,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2014-036B,40062
Gonets M-20,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,Polar,1478,1509,0.00197,82.51,115.84,280,980,120,7/3/2014,6,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2014-036C,40063
Ibuki,Japan Aerospace Exploration Agency (JAXA),Japan,Civil,Earth Observation,LEO,Sun-Synchronous,668,670,0.000142,98.1,98.1,1750,980,3800,1/23/2009,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2009-002A,33492
Hodoyoshi-1,University of Tokyo and NESTRA,Japan,Government,Earth Observation,LEO,Sun-Synchronous,506,525,0.00138,97.48,94.93,65,980,50,11/6/2014,10,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr,2014-070B,40299
Hodoyoshi-3,University of Tokyo and NESTRA,Japan,Government,Technology Development,LEO,Sun-Synchronous,613,666,0.00378,97.98,97.51,60,980,50,6/19/2014,10,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr,2014-033F,40015
Hodoyoshi-4,University of Tokyo and NESTRA,Japan,Government,Technology Development,LEO,Sun-Synchronous,613,650,0.00264,97.99,97.35,60,980,50,6/19/2014,10,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr,2014-033B,40011
Horyu-4,Kyushu Institute of Technology (KIT),Japan,Civil,Technology Development,LEO,Sun-Synchronous,557,579,0.00159,31,96,10,980,5,2/17/2016,1,Kyushu Institute of Technology (KIT),Japan,Tanegashima Space Center,H-2A,2016-012D,41340
Hubble Space Telescope,European Space Agency/NASA,ESA/USA,Government,Space Science,LEO,Non-Polar Inclined,555,559,0.000289,28.5,95.8,11110,980,2400,4/25/1990,10,European Space Agency/NASA,International,Cape Canaveral,Space Shuttle (STS 31),1990-037B,20580
IRS-P6,Indian Space Research Organization (ISRO),India,Government,Earth Observation,LEO,Sun-Synchronous,817,823,0.000417,98.8,101.3,1360,980,1200,10/17/2003,5,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV C5,2003-046A,28051
Jugnu,Indian Institute of Technology Kanpur,India,Civil,Earth Observation,LEO,Non-Polar Inclined,839,866,0.00187,20,102,3,980,3,10/12/2011,1,Indian Institute of Technology Kanpur,India,Satish Dhawan Space Center,PSLV,2011-058B,37839
KazEOSat-1,Kazcosmos,Kazakhstan,Government,Earth Observation,LEO,Sun-Synchronous,751,754,0.000211,98.53,99.87,830,980,1200,4/30/2014,7.25,Airbus Defence and Space,France,Guiana Space Center,Vega,2014-024A,39731
KazEOSat-2,Kazcosmos,Kazakhstan,Government,Earth Observation,LEO,Sun-Synchronous,612,636,0.00172,97.99,97.19,185,980,55,6/19/2014,7,Surrey Satellite Technology Ltd. (SSTL),UK,Dombarovsky Air Base,Dnepr,2014-033A,40010
Kompsat-2,Korea Aerospace Research Institute (KARI),South Korea,Government/Commercial,Earth Observation/Technology Development,LEO,Sun-Synchronous,676,698,0.00156,98.2,98.5,800,980,955,7/28/2006,3,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Plesetsk Cosmodrome,Rokot,2006-031A,29268
Kompsat-3,Korea Aerospace Research Institute (KARI),South Korea,Government/Commercial,Earth Observation,LEO,Sun-Synchronous,679,696,0.0012,98.2,98.5,980,980,1300,5/17/2012,4,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Tanegashima Space Center,H2A,2012-025B,38338
Kompsat-3A,Korea Aerospace Research Institute (KARI),South Korea,Government/Commercial,Earth Observation,LEO,Sun-Synchronous,522,540,0.0013,97.5,95.25,980,980,1300,3/25/2015,4,Korea Aerospace Research Institute (KARI),South Korea,Dombarovsky Air Base,Dnepr,2015-014A,40536
Kompsat-5,Korea Aerospace Research Institute (KARI),South Korea,Government/Commercial,Earth Observation,LEO,Sun-Synchronous,535,552,0.00123,97.6,95.5,1400,980,1400,8/22/2013,5,Korea Aerospace Research Institute (KARI),South Korea,Dombarovsky Air Base,Dnepr,2013-042A,39227
LAPAN A2,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Indonesia,Government,Earth Observation,LEO,Equatorial,631,650,0.00136,6,97.53,68,980,32,9/24/2015,10,Indonesian National Institute of Aeronautics and Space,Indonesia,Satish Dhawan Space Center,PSLV C-30,2015-052B,40931
LAPAN A3,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Indonesia,Government,Earth Observation,LEO,Sun-Synchronous,501,517,0.00116,97.5,94.8,115,980,37,6/22/2016,10,Indonesian National Institute of Aeronautics and Space,Indonesia,Satish Dhawan Space Center,PSLV XL,2016-040E,41603
LAPAN-Tubsat,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Indonesia,Government,Earth Observation/Technology Development,LEO,Sun-Synchronous,617,637,0.00143,97.7,97.2,60,980,14,1/10/2007,10,Technical University of Berlin,Germany,Satish Dhawan Space Center,PSLV C7,2007-001A,29709
Maroc Tubsat,CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin),Morocco/Germany,Government,Technology Development,LEO,Sun-Synchronous,984,1014,0.00204,99.2,105.1,47,980,56,12/10/2001,2.5,CRTS Morocco/Institut für Luft-und Raumfahrttechnik,Morocco/Germany,Baikonur Cosmodrome,Zenit,2001-056D,27004
MKA-FKI-1,Lavochkin Research and Production Association (Lavochkin NPO),Russia,Government,Earth Observation,LEO,Sun-Synchronous,805,821,0.00111,98.9,101.2,110,980,220,7/22/2012,3,Lavochkin NPO,Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039E,38711
Oceansat-2,Indian Space Research Organization (ISRO),India,Government,Earth Observation,LEO,Sun-Synchronous,722,724,0.000141,98.3,99.2,960,980,1360,9/23/2009,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2009-051A,35931
Project for On-Board Autonomy (Proba 1),European Space Agency (ESA),ESA,Government,Technology Demonstration,LEO,Sun-Synchronous,553,676,0.00881,97.9,96.98,100,980,100,10/22/2001,2,Verhaert Design and Development NV (leading a European consortium),Belgium,Satish Dhawan Space Center,PSLV C3,2001-049B,26958
Project for On-Board Autonomy (Proba 2),European Space Agency (ESA),ESA,Government,Technology Demonstration,LEO,Sun-Synchronous,708,728,0.00141,98.3,99.2,130,980,86,11/2/2009,2,Verhaert Design and Development NV (leading a European consortium),Belgium,Plesetsk Cosmodrome,Breeze KM,2009-059B,36037
Rising-2,Tohoku University/Hokkaido University,Japan,Civil,Earth Observation,LEO,Sun-Synchronous,625,630,0.000357,97.88,97.27,41,980,42,5/24/2014,10,Tohoku University/Hokkaido University,Japan,Tanegashima Space Center,H-2A,2014-029D,39769
Cosmos 2437,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1480,1511,0.00197,82.5,115.9,280,980,300,5/23/2008,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2008-025B,32954
Cosmos 2438,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1477,1509,0.00203,82.5,115.8,280,980,300,5/23/2008,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2008-025C,32955
Cosmos 2439,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1478,1510,0.00203,82.5,115.8,280,980,300,5/23/2008,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2008-025D,32956
Cosmos 2451,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1498,1509,0.000699,82.5,116,280,980,300,7/6/2009,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2009-036A,35498
Cosmos 2453,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1495,1506,0.000699,82.5,116,280,980,300,7/6/2009,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2009-036C,35500
Cosmos 2481,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1481,1512,0.00197,82.5,115.9,280,980,300,7/28/2012,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2012-041A,38733
Cosmos 2482,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1473,1516,0.00273,82.5,115.86,250,980,300,1/15/2013,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-001A,39057
Cosmos 2483,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1473,1516,0.00273,82.5,115.86,250,980,300,1/15/2013,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-001B,39058
Cosmos 2484,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1475,1514,0.00248,82.5,115.86,250,980,300,1/15/2013,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-001C,39059
Cosmos 2488,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1478,1509,0.00197,82.5,115.9,280,980,300,12/25/2013,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-076A,39483
Cosmos 2489,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1477,1507,0.00191,82.5,115.8,280,980,300,12/25/2013,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-076B,39484
Cosmos 2490,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1482,1511,0.00184,82.5,115.8,280,980,300,12/25/2013,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-076C,39485
Cosmos 2496,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1480,1511,0.00197,82.44,115.88,280,980,300,5/23/2014,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2014-028A,39761
Cosmos 2497,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1478,1510,0.00203,82.45,115.85,280,980,300,5/23/2014,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2014-028B,39762
Cosmos 2498,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1477,1509,0.00203,82.44,115.82,280,980,300,5/23/2014,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2014-028C,39763
Cosmos 2507,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1497,1506,0.000572,82.5,116.01,280,980,300,9/23/2015,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2015-050A,40920
Cosmos 2508,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1496,1504,0.000508,82.49,115.99,280,980,300,9/23/2015,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2015-050B,40921
Cosmos 2509,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1498,1508,0.000635,82.49,116.04,280,980,300,9/23/2015,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2015-050C,40922
SARAL,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),India/France,Government,Earth Observation,LEO,Sun-Synchronous,782,785,0.00021,98.5,100.53,407,980,906,2/25/2013,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2013-009A,39086
SCD-1,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Government,Earth Observation,LEO,Non-Polar Inclined,716,776,0.00422,25,99.7,110,980,70,2/9/1993,3,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Cape Canaveral,Pegasus,1993-009B,22491
SCD-2,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Government,Earth Observation,LEO,Non-Polar Inclined,735,760,0.00176,25,99.8,110,980,70,10/23/1998,3,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Cape Canaveral,Pegasus,1998-060A,25504
Scisat-1,Canadian Space Agency,Canada,Government,Space Science,LEO,Polar,638,649,0.000784,73.9,97.6,150,980,80,8/12/2003,10,Bristol Aerospace Ltd.,Canada,Vandenberg AFB,Pegasus XL,2003-036A,27858
SOCRATES,National Institute of Information and Communications Technology (JPN),Japan,Commercial,Technology Development,LEO,Sun-Synchronous,618,629,0.000786,97.87,97.17,48,980,100,5/24/2014,10,"Advanced Engineering Services Company, Ltd.",Japan,Tanegashima Space Center,H-2A,2014-029C,39768
STSat-2C,Korea Aerospace Research Institute (KARI),South Korea,Government,Technology Development,LEO,Polar,298,1482,0.0815,80.28,102.77,93,980,160,1/30/2013,2,Korea Advanced Institute of Science and Technology (KAIST),South Korea,Naro Space Center,Naro-1,2013-003A,39068
STSat-3,Korea Aerospace Research Institute (KARI),South Korea,Government,Technology Development,LEO,Sun-Synchronous,593,626,0.00236,97.81,96.88,150,980,275,11/21/2013,2,Korea Advanced Institute of Science and Technology (KAIST),South Korea,Dombarovsky Air Base,Dnepr,2013-066G,39422
Suzaku,Japan Aerospace Exploration Agency (JAXA)/NASA,Japan/USA,Government,Space Science,LEO,Non-Polar Inclined,548,558,0.000722,31.4,95.7,1600,980,500,7/10/2005,5,Japan Aerospace Exploration Agency (JAXA),Japan,Uchinoura Space Center,M5,2005-025A,28773
Swift,Goddard Space Flight Center/Penn State University,USA/United Kingdom/Italy,Government/Civil,Space Science,LEO,Non-Polar Inclined,571,590,0.00137,20.6,96.3,1463,980,1040,11/20/2004,7,Spectrum Astro (General Dynamics),USA,Cape Canaveral,Delta 7320,2004-047A,28485
TET-1,German Aerospace Center,Germany,Commercial,Technology Development,LEO,Sun-Synchronous,501,505,0.000291,97.5,94.7,120,980,20,7/22/2012,1,Kayser-Threde GmbH,Germany,Baikonur Cosmodrome,Soyuz-Fregat,2012-039D,38710
UNIFORM 1,Wakayama University (UNIFORM consortium),Japan,Civil,Earth Observation,LEO,Sun-Synchronous,622,629,0.0005,97.87,97.2,50,980,140,5/24/2014,10,Wakayama University and other Japanese universities,Japan,Tanegashima Space Center,H-2A,2014-029B,39767
X-Sat,Centre for Research in Satellite Technology (CREST),Singapore,Government,Earth Observation,LEO,Sun-Synchronous,801,823,0.00153,98.7,101.1,91,980,175,4/20/2011,3,Centre for Research in Satellite Technology (CREST),Singapore,Satish Dhawan Space Center,PSLV C16,2011-015C,37389
Chandra X-Ray Observatory (CXO),NASA Goddard Space Flight Center,USA,Government,Space Science,Elliptical,Deep Highly Eccentric,9999,138825,0.797,28.5,3808.92,4742,980,2500,7/23/1999,5,TRW Space and Electronics,USA,Cape Canaveral,Space Shuttle (STS 93),1999-040B,25867
Cloudsat,NASA/Colorado State University,USA,Government/Civil,Earth Observation,LEO,Sun-Synchronous,702,703,0.0000707,98.2,98.8,848,980,570,4/28/2006,2,NASA Jet Propulsion Laboratory,USA,Vandenberg AFB,Delta 2,2006-016A,29107
CUSat-1,"Space Systems Design Studio, Cornell University",USA,Civil,Technology Development,LEO,Polar,326,1465,0.0784,80.99,102.89,1200,980,2,9/29/2013,0.5,"Space Systems Design Studio, Cornell University",USA,Vandenberg AFB,Falcon 9,2013-055B,39266
EO-1,NASA Earth Science Office,USA,Government,Earth Observation/Research,LEO,Sun-Synchronous,678,690,0.000851,98.1,98.4,572,980,600,11/21/2000,5,Swales Aerospace,USA,Vandenberg AFB,Delta 2,2000-075A,26619
Aura,Goddard Space Flight Center/EOS Data and Operations System,USA,Government,Earth Observation,LEO,Sun-Synchronous,702,703,0.0000707,98.2,98.8,2967,980,4600,7/15/2004,5,TRW,USA,Vandenberg AFB,Delta 2,2004-026A,28376
Multispectral Thermal Imager (MTI),US Department of Energy/Office of Nonproliferation and National Security,USA,Government/Military,Technology Development,LEO,Sun-Synchronous,461,478,0.00124,97.47,94.9,587,980,575,3/12/2000,3,Ball Aerospace/TRW/Raytheon,USA,Vandenberg AFB,Taurus,2000-014A,26102
TacSat 4,Naval Research Laboratory,USA,Military,Technology Development,Elliptical,Molniya,658,11836,0.443,63.64,235.16,450,980,1000,9/27/2011,10,Naval Research Laboratory/Johns Hopkins University Applied Physics Laboratory,USA,Kodiak Launch Complex,Minotaur 4,2011-052A,37818
TIMED,"NASA/Applied Physics Laboratory, Johns Hopkins",USA,Government/Civil,Space Science,LEO,Polar,612,613,0.0000716,74.1,97,587,980,406,12/7/2001,2,"Applied Physics Laboratory, Johns Hopkins",USA,Vandenberg AFB,Delta 2,2001-055B,26998
Worldview 1,DigitalGlobe Corporation,USA,Commercial,Earth Observation,LEO,Sun-Synchronous,491,494,0.000219,97.3,94.5,4500,980,3200,9/18/2007,7.25,Ball Aerospace,USA,Vandenberg AFB,Delta 2,2007-041A,32060
Worldview 3,DigitalGlobe Corporation,USA,Commercial,Earth Observation,LEO,Sun-Synchronous,612,614,0.000143,97.99,96.96,2800,980,3100,8/13/2014,11,Ball Aerospace,USA,Vandenberg AFB,Atlas 5,2014-048A,40115
CFESat,Los Alamos National Labs (LANL),USA,Government,Technology Development,LEO,Non-Polar Inclined,538,544,0.000434,35.4,95.5,159,980,110,3/9/2007,10,Surrey Satellite Technologies Ltd.,United Kingdom,Cape Canaveral,Atlas 5,2007-006F,30777
Globalstar M073,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,700,980,1700,10/19/2010,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054F,37193
Globalstar M074,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1415,0.000128,52,114.1,700,980,1700,10/19/2010,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054B,37189
Globalstar M075,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1415,0.000128,52,114.1,700,980,1700,10/19/2010,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054E,37192
Globalstar M076,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,114.1,700,980,1700,10/19/2010,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054C,37190
Globalstar M077,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,700,980,1700,10/19/2010,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054D,37191
Globalstar M078,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,51.99,114.08,700,980,1700,2/6/2013,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005E,39076
Globalstar M079,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,700,980,1700,10/19/2010,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054A,37188
Globalstar M080,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,700,980,1700,12/28/2011,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080B,38041
Globalstar M081,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,114.1,700,980,1700,7/13/2011,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033E,37743
Globalstar M082,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,700,980,1700,12/28/2011,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080C,38042
Globalstar M083,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,700,980,1700,7/13/2011,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033A,37739
Globalstar M084,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,700,980,1700,12/28/2011,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080A,38040
Globalstar M085,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1415,0.000128,52,114.1,700,980,1700,7/13/2011,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033D,37742
Globalstar M086,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,700,980,1700,12/28/2011,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080F,38045
Globalstar M088,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,114.1,700,980,1700,7/13/2011,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033B,37740
Globalstar M089,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1415,0.000128,51.99,118.2,700,980,1700,7/13/2011,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033F,37744
Globalstar M090,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,700,980,1700,12/28/2011,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080E,38044
Globalstar M091,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1415,0.000128,52,114.1,700,980,1700,7/13/2011,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033C,37741
Globalstar M092,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,700,980,1700,12/28/2011,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080D,38043
Globalstar M093,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,51.98,113.35,700,980,1700,2/6/2013,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005B,39073
Globalstar M094,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,51.99,103.44,700,980,1700,2/6/2013,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005C,39074
Globalstar M095,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,51.98,114.08,700,980,1700,2/6/2013,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005F,39077
Globalstar M096,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52.01,103.48,700,980,1700,2/6/2013,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005D,39075
Globalstar M097,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1370,1391,0.00135,52.01,113.96,700,980,1700,2/6/2013,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005A,39072
RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager),"Space Sciences Laboratory, UC Berkeley/NASA",USA,Government/Civil,Space Science,LEO,Non-Polar Inclined,535,551,0.00116,38,95.5,293,980,414,2/5/2002,3,"Spectrum Astro, Inc.",USA,Cape Canaveral,Pegasus,2002-004A,27370
